82700,95000,4.38,1026,5200,33000,2.34,1.28,4.79,30.4,4570,.393,26.6,28.87,22.54,57300,61,2.65,10.18,.884,256,11.46,225,191,.85,4,115,214,-1480
85600,96000,4.69,918,3700,29000,2.55,1.53,5.41,33.8,4500,.403,28.3,34.78,22.97,51900,65.1,2.81,10.16,.857,275,11.39,247,172,.86,3.17,131,215,-1480
89900,95000,4.6,1071,4400,30000,2.51,1.44,5.22,34.5,4530,.397,31.3,31.08,23.77,60200,66.6,2.86,10.2,.845,275,11.89,216,178,.84,3.45,141,216,-1480
82100,105000,4.58,949,8300,25000,2.4,1.41,5.18,32.7,4530,.386,28.1,29.07,21.55,55400,61.8,2.55,9.26,.817,268,10.84,258,163,.74,3.49,129,217,-1480
87400,92000,4.65,948,5400,28000,2.46,1.36,5.08,32.8,4610,.373,27.2,29.57,23.63,57800,64,2.66,9.78,.865,267,11.6,225,193,.87,3.98,113,218,-1480
85700,89000,4.95,888,8000,28000,2.26,1.53,5.46,34.6,4660,.396,28.1,28.65,22.01,56200,66.5,2.82,8.09,.864,252,11.32,216,163,.86,2.78,120,219,-1480
90200,86000,4.58,1060,4700,23000,2.41,1.37,5.18,32.7,5000,.381,28.5,30.87,22.42,57200,63,2.73,9.8,.843,259,11.69,212,173,.84,3.73,128,220,-1480
89500,107000,4.52,1030,4300,30000,2.49,1.43,5.19,34,4290,.374,29.4,33.24,22.96,56800,63.9,2.8,9.77,.831,258,11.28,249,189,.83,2.74,127,221,-1480
86100,90000,4.82,1019,4200,28000,2.32,1.33,4.97,31.8,4280,.374,28.2,27.39,21.73,56000,62.7,2.66,8.79,.819,224,11.05,241,186,.82,3.2,118,222,-1480
95000,80000,4.92,986,9000,24000,2.44,1.45,5.4,35.1,5050,.404,29.4,31.48,23.28,57300,68,2.77,9.78,.862,255,11.87,233,177,.86,3.7,133,223,-1480
94300,83000,4.77,989,3800,39000,2.64,1.44,5.43,35.8,4700,.412,34,29.82,24.03,59200,64.8,2.79,9.74,.808,257,11.95,250,186,.86,3.22,116,227,-3200
72300,75000,3.95,1040,4400,26000,1.84,1.2,4.25,26.1,4050,.326,23.2,36.06,20.3,51200,49.9,2.35,6.91,.72,980,8.05,357,119,.68,3.19,124,229,-3200
