79900,4600,7.47,84,3070,19400,3.21,2.164,9.413,47.58,5090,.566,50.5,8.36,18.91,21700,83.4,3.82,7.3,1.184,311.5,11.2,93,107,1.298,6.2,48,823,-1550
64900,22000,5.93,492,4760,14300,2.01,1.83,7.506,39.26,3730,.433,38.8,63.68,15.36,41100,118.5,3.05,6.2,1.006,223.8,10.57,127,119,.955,4.86,103,824,-1550
63400,14700,4.47,255,6010,11100,1.94,1.144,5.051,30.07,3710,.351,27.4,12.34,13.46,37700,71.5,2.57,3.7,.938,306.7,9.2,114,101,.809,5.46,76,825,-1550
76000,4800,4.65,87,4760,16800,2.55,1.155,5.151,33.48,4860,.439,28.8,7.16,16.19,20500,65.2,2.67,6.1,1.103,298.3,9.69,81,101,.815,6.16,64,826,-1550
67600,14500,7.93,669,7110,10400,2.17,1.929,7.835,39.07,3920,.574,37.8,19.43,15.18,41900,86.3,3.86,5.9,1.035,318.4,9.38,196,100,1.332,5.66,92,827,-1550
89400,47400,3.06,292,3390,20100,3.41,.673,3.557,28.54,4770,.34,22.6,8.32,19.9,37200,56.5,2.03,9,1.133,279.6,11.55,102,156,.623,4.93,65,828,-1550
68800,7500,9.4,988,5030,20500,1.86,2.433,9.262,48.12,4000,.594,46.2,28.12,16.18,39700,76.2,4.36,6.4,1.082,176.7,10.29,259,140,1.729,4.85,119,829,-1550
99100,32000,6.17,268,5410,22100,3.31,1.748,7.426,45.99,5090,.486,39.6,20.66,20.69,29700,90.6,3.37,7.4,1.285,313,13.75,206,127,.91,5.42,115,830,-1550
74600,30900,5.34,232,3990,15400,2.81,1.241,5.499,31.74,4210,.45,26.9,10.36,15.19,38200,53.2,2.96,5.8,.935,313.4,9.66,107,111,.864,5.2,65,831,-1550
73100,9700,9.56,857,5250,19500,2.09,2.688,10.297,50.23,4290,.614,50.4,33.2,17.69,39000,80.1,4.67,7.4,1.012,187.7,10.95,177,153,1.634,4.31,125,832,-1550
85500,91600,4.55,862,3590,30500,2.7,1.259,5.607,36.92,4170,.408,31.6,33.21,23,55800,73.4,3.11,11.2,1.043,256.1,11.96,303,210,.84,3.7,116,833,-1550
76000,76300,4.37,1152,3050,26700,2.43,1.21,5.154,31.19,3900,.391,27.9,35.31,20.67,51200,65.2,2.82,12.1,.962,239.1,10.57,273,170,.809,3.22,140,834,-1550
84900,58000,5.01,602,3660,31600,2.47,1.303,5.527,34.54,4520,.384,29.9,36.63,23.15,48900,68.8,3.08,12.5,1.069,309.6,11.86,347,158,.749,3.89,119,835,-1550
60100,59500,5.47,801,5810,21400,2.65,1.483,6.412,36.1,3710,.417,33.8,22.77,14.97,34800,66.4,3.3,6.2,.927,200.5,9.58,142,131,1.037,4.87,94,836,-1550
83100,95800,4.75,1026,12210,16500,2.39,1.41,5.754,32.8,4530,.4,32.4,38.97,23.39,58200,69.3,3.17,8.9,1.012,305.7,11.92,321,85,.831,4.18,133,837,-1550
69000,101600,4.71,889,2980,19600,2.55,1.189,5.059,29.87,4260,.336,25.1,35.61,19.63,44000,56.8,2.72,12.7,.826,268.4,9.28,328,170,.684,2.65,119,838,-1550
70800,92500,4.82,847,2940,19000,2.65,1.228,5.164,29.95,4210,.384,27.2,37.84,20.72,46800,61.2,2.88,15.9,.89,276.7,10.11,350,155,.826,3.36,134,839,-1550
82800,49600,4.79,661,4720,26200,2.44,1.268,5.441,33.09,4620,.396,28.9,31.14,22.74,50100,67.2,2.91,14.7,1.002,309.9,11.56,333,164,.754,3.39,116,840,-1550
80600,82700,4.28,1155,11130,9800,2.69,1.365,5.622,33.02,4690,.404,26.9,39.29,22.03,52200,63.4,3.17,12.3,.942,294.4,10.96,352,88,.835,3.23,112,841,-1550
