"PERA-12","PERA0012","PT-T-12",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"F",58100,113300,3.99,765,4380,15400,2.1,1.038,4.276,21.04,4370,.364,23.5,31.16,20.6,49400,46.2,2.31,24.9,.784,617,7.55,433,79,.659,3.44,98,,955,-1150
"PERA-13","PERA0013","PT-T-13",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"G",57100,123500,3.64,951,3790,16700,1.42,1.005,4.077,21.01,4060,.318,21.8,38.96,19.85,57000,43.4,2.09,15.1,.691,529.8,7.58,578,83,.709,3.41,94,,956,-1150
"PERA-14","PERA0014","PT-T-14",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","Buff","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","Very hard","","Y","Direct transcription",544,"H",51500,97700,3.42,560,7580,9700,2.17,.939,3.787,20.46,3310,.293,21.7,21,16.08,35000,40.7,1.86,16.9,.616,440.5,6.41,311,60,.624,3.76,79,,957,-1150
"PERA-15","PERA0015","PT-T-15",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","Red","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","Very Soft","","Y","Direct transcription",544,"J",85500,11400,7.1,914,7470,18900,2.52,1.705,7.063,35.63,5230,.679,36.9,28.97,20.47,63100,82,4.23,4.8,1.211,396.6,13.98,271,93,1.146,6.05,114,,958,-1150
"PERA-16","PERA0016","PT-T-16",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"K",69700,99200,3.92,742,9410,13000,2.1,1.053,4.232,20.23,4610,.345,22,33.41,23.18,46000,46,2.31,37.7,.758,704.4,8.45,536,97,.727,4.04,56,,959,-1150
"PERA-17","PERA0017","PT-T-17",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"M",71500,88500,4.82,778,4200,12700,2.26,1.35,5.367,28.51,4720,.395,29.2,28.13,20.86,54100,59.1,2.59,7.2,.907,645.4,9.53,467,56,.824,4.98,104,,960,-1150
"PERA-18","PERA0018","PT-T-18",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"N",71200,101000,4.07,969,6010,17900,2.07,1.131,4.523,23.61,4060,.351,23.7,34.62,22.22,50700,49.8,2.36,35.4,.75,579,8.37,471,122,.831,4.19,112,,961,-1150
"PERA-19","PERA0019","PT-T-19",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"O",63100,112900,3.65,1081,4710,16900,1.69,.971,4.022,22.85,3680,.334,21.6,37.15,21.23,57100,42.9,2.03,15.4,.656,854.7,7.15,510,69,.677,3.42,107,,962,-1150
"PERA-20","PERA0020","PT-T-20",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"P",60000,61200,4.07,782,4950,16200,3.07,.99,4.166,21.31,5700,.379,20.7,27.51,22.86,58100,48.6,2.23,20.3,.938,791.2,8.34,518,100,.771,5.26,99,,963,-1150
"PERA-21","PERA0021","PT-T-21",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"Q",66500,89400,4.01,585,9240,11900,2.16,1.045,4.432,23.67,4430,.317,20.8,28.42,23.24,47600,49.5,2.54,39.7,.765,683.2,8.32,422,97,.704,3.83,72,,964,-1150
"PERA-22","PERA0022","PT-T-22",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"R",56600,124400,3.98,1317,2780,7300,1.44,.962,4.186,20.77,4460,.342,17.4,36.18,20.36,59700,43.7,2.23,11.6,.739,546.3,7.57,481,56,.734,3.62,116,,965,-1150
"PERA-23","PERA0023","PT-T-23",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"S",60300,106700,4.25,798,4450,12700,1.68,1.029,4.396,22.08,4410,.36,21.4,34.68,21.57,59300,46.6,2.36,21.6,.765,626.6,7.84,568,110,.708,3.91,121,,966,-1150
"PERA-24","PERA0024","PT-T-24",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"T",65400,109000,3.86,722,5850,15400,2.04,.976,4.2,21.09,3950,.319,24.2,27.77,22.09,49800,47.1,2.23,33.2,.772,645.2,7.56,431,106,.693,3.52,94,,967,-1150
"PERA-25","PERA0025","PT-T-25",37.917,34.017,"Pt Tombs","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIC","","","","","","","Late Helladic IIIC, 1200-1050 B.C.","","","","Y","Direct transcription",544,"U",78700,83800,4.92,816,10990,20600,2.4,1.218,5.466,29.59,4460,.423,29.1,38.77,24.04,56900,62.3,2.8,16.6,.857,604.8,10.2,429,93,.791,4.25,135,,968,-1150
