82000,69000,4.34,880,6120,29400,2.32,.993,4.54,29.3,4290,.377,22.9,39.92,25.04,65200,55.4,2.64,8.59,.935,483,10.49,500,224,.76,3.66,122,564
87600,56000,3.72,674,4470,29800,2.22,.852,4.15,26.2,4290,.36,18.9,43.44,27.69,69200,51.8,2.47,9.29,.953,488,10.5,559,167,.71,3.28,126,565
61900,62000,4.36,909,9920,25400,2.01,1.012,4.55,26.7,4170,.342,21.7,29.54,17.65,49000,53.8,2.33,4.58,.92,480,8.73,332,105,.84,4.1,99,566
85400,53000,4.39,715,4460,33600,2.36,.917,4.34,28.7,4230,.394,22.2,43.84,27.9,70300,54.6,2.55,9.56,.982,482,10.71,546,221,.81,3.48,147,567
80800,72000,4.43,1054,4250,30500,2.41,1.046,4.77,29,4750,.385,24.5,43.01,23.99,65600,57.5,2.55,8.04,.989,475,10.47,488,203,.81,3.5,124,568
73100,102000,4.54,901,6100,28800,3.1,1.12,4.77,29.6,4230,.382,26.4,30.88,21.11,54500,58.4,2.42,8.64,.992,382,9.57,314,165,.86,4.42,131,569
77600,81000,4.58,870,6260,29100,2.63,1.031,4.66,29.6,4230,.389,22.7,34.43,21.66,55400,57.1,2.67,8.54,.992,411,9.81,369,166,.8,3.65,142,570
72500,88000,4.31,716,8260,31500,2.37,1.023,4.49,27,4400,.333,23.6,30.46,21.31,57600,54.7,2.42,7.87,.971,412,9.13,312,152,.79,4.05,139,571
72700,68000,4.35,911,7450,32800,2.18,.926,4.68,29.3,4070,.347,24.4,32.56,20.46,55200,58.5,2.51,6.39,.935,455,9.81,392,165,.71,3.63,106,572
64700,108000,4.02,820,5710,27600,2.77,.962,4.48,27.7,4510,.368,21.2,27.09,18.2,47200,54.1,2.38,6.37,.864,314,8.83,264,124,.74,3.71,107,573
83800,102000,4.16,839,6710,26900,3.05,1.165,5.02,30.1,4580,.371,29.2,30.86,21.5,55700,64.2,2.58,9,1.055,349,10.44,316,141,.84,4.03,135,574
91700,68000,3.86,862,4640,31700,2.45,1.025,4.44,27.5,4650,.372,22.1,38.79,25.22,63800,57.5,2.46,9.3,1.014,419,10.3,544,144,.71,3.53,133,575
78000,88000,4.47,877,12010,21700,2.57,1.2,4.94,28.9,4230,.37,24.1,31.48,20.02,53500,60.2,2.58,6.1,1.011,429,9.8,361,79,.84,3.77,98,576
94900,93000,4.31,816,5170,32600,2.71,1.131,5.02,29.8,4290,.371,25.8,38.07,22.92,59500,62.3,2.61,9.34,1.216,403,10.77,362,148,.79,3.97,139,577
98000,97000,4.45,896,3700,32400,3.03,1.102,4.77,28.8,4280,.364,24.1,36.56,24.05,61700,57.4,2.51,10.3,1.175,391,10.48,376,183,.79,4.38,137,578
81900,113000,4.14,784,12430,13700,2.24,1.065,4.56,27.9,3710,.361,25,36.34,23.39,60000,51.2,2.42,8.13,1.073,416,9.97,443,148,.8,3.81,127,579
77600,92000,4.69,834,12280,17600,2.37,1.275,5.06,28.3,4690,.379,25.1,32.88,22.66,59100,56.8,2.6,7.65,1.17,384,10.06,322,99,.76,4.28,130,580
62000,60000,4.35,1111,10990,26600,2.18,1.14,4.57,25.5,3660,.309,23.2,29.42,17.28,47500,56.3,2.3,4.38,1.006,494,8.77,389,118,.73,4.04,112.7,581
68800,94000,4.84,889,12970,20600,2.46,1.101,4.84,27.5,3640,.383,23.7,31.43,19.69,54300,57.5,2.47,5.83,1.065,424,9.85,396,118,.84,4.02,90,582
79000,64000,4.1,1052,11260,21200,2.39,1.084,4.43,25.1,3510,.367,21.8,36.6,21.57,57800,52.8,2.33,7.75,1.01,437,8.9,453,81,.66,3.14,94,583
70000,66000,4.12,974,8370,16500,2.15,1.16,4.867,29.52,4390,.357,26.4,34.09,19.98,55100,57.7,2.41,5.8,.915,512.3,9.92,418,119,.752,4.37,119,584
73000,57100,4.4,940,9260,25000,2.11,1.175,4.792,29.19,4390,.313,25.8,35.27,20.44,56900,58.1,2.43,5.8,.935,502,9.9,469,131,.789,4.34,129,585
86800,83400,4.25,896,4890,26300,2.46,1.175,4.845,30.63,4620,.389,28.8,38.92,24.68,62700,60.2,2.52,11.1,.939,444.4,11.1,489,146,.728,4.01,140,586
90000,46800,3.94,817,5590,31800,2.35,1.091,4.589,28.24,4740,.354,25.4,40.25,24.27,65200,56,2.34,10.2,1,396,10.35,408,160,.647,4.09,154,587
68500,52000,4.42,1089,10600,17900,2.03,1.151,4.863,28.05,4360,.345,24.8,32.66,18.86,51800,55.1,2.34,4.9,.935,539,9.3,391,99,.732,5.17,135,588
78600,85800,4.36,829,6870,15000,2.36,1.043,4.548,28,4490,.38,26.3,37.18,24.04,60700,54.4,2.35,8.1,.887,400.1,10,462,132,.749,3.38,126,589
65800,138000,4.09,1215,8880,22700,3.4,.951,4.39,26.67,3730,.317,23.6,26.23,17.92,48500,50.1,2.02,6.8,.848,292.4,8.27,277,119,.614,2.82,154,590
80600,84600,4.47,763,4970,21000,2.38,1.114,4.509,27.62,4560,.361,25.2,42.03,25.05,62700,52.9,2.39,9.4,.949,461.1,9.89,504,146,.814,3.42,132,592
72000,85500,4.06,849,7510,22000,2.37,1.02,4.508,26.98,4420,.333,24.5,33.75,20.83,55300,53.3,2.25,7,.884,417.1,9.26,383,133,.731,3.54,115,593
69800,55900,4.24,899,8620,18100,2.11,1.133,4.774,27.77,4380,.371,24.5,35.42,20.63,56500,57,2.5,6.3,.922,496,9.77,412,123,.778,4.31,116,594
79500,91800,3.87,993,6570,23000,2.52,1.067,4.455,27.1,4590,.35,24.6,36.09,22.36,59900,53.3,2.42,9.2,.898,400.8,9.62,380,100,.67,3.01,156,595
83400,59000,4.36,792,6030,27700,2.5,1.089,4.627,28.02,4570,.394,24.5,39.94,25.7,63400,55.5,2.42,8.4,.905,443.5,10.19,452,150,.675,3.46,132,596
76900,89900,4.32,940,8360,16000,2.65,1.119,4.745,27.8,4390,.376,25.3,34.42,21.89,58000,57,2.36,8.9,.925,399.2,9.93,374,131,.76,3.84,131,597
72800,100200,3.95,759,5910,21200,2.33,1.013,4.253,25.5,3900,.334,22.5,32.81,21.52,54400,49.8,2.17,7.3,.809,357.7,8.87,360,116,.615,3.16,134,598
79100,61200,4.11,1123,7900,21800,2.2,1.052,4.476,26.23,4600,.335,24.2,36.96,23.32,57900,54.6,2.35,6.8,.866,467.2,9.24,450,115,.698,3.27,100,599
67300,91100,4.15,873,7890,19600,2.67,1.025,4.571,26.84,4240,.36,23.9,31.08,20.38,52100,55.1,2.39,5.8,.845,380.5,9.17,320,119,.77,3.51,108,600
71300,91200,4.36,891,8580,22100,2.37,1.048,4.732,28.51,4470,.37,23.7,32.4,20.85,56400,55.6,2.39,7.6,.92,438.5,9.8,361,144,.721,3.7,113,601
103000,88700,5.61,173,7710,21200,4.94,1.571,8.031,56.96,6910,.523,48.6,14.33,19.81,27000,106.6,3.44,6,2.504,214.5,14.79,83,120,.982,7.76,92,602
69100,84700,4.5,1416,7440,19000,2.15,1.033,4.655,28.33,4450,.346,26.5,34.31,20.81,53400,53,2.34,6,.863,440,9.31,389,117,.733,3.67,99,603
79000,63800,4.1,1104,6310,13600,2.14,1.146,4.575,27.33,4230,.327,22.3,31.53,19.72,53200,51.2,2.26,6.2,.843,450.2,8.98,388,103,.705,3.94,106,604
77200,100400,3.63,764,4490,20300,2.09,1.022,4.077,25.07,3850,.334,21.9,38.36,21.96,60200,46.5,2.16,7.8,.743,449.4,8.61,514,133,.622,3.32,122,605
75600,84100,3.88,873,6320,26700,2.09,1.004,4.318,26.29,3960,.324,20.4,32.91,20.61,53900,52.2,2.44,6.9,.873,457.6,9.45,462,126,.707,3.15,126,606
78000,64600,4.04,899,6720,19800,2.17,1.168,4.724,28.32,4260,.331,24.9,33.69,21.67,58200,55.8,2.41,7.2,.904,479.6,10.46,406,126,.93,3.84,116,607
67800,82300,4.08,930,7400,23200,2.04,1.11,4.401,25.49,3860,.312,21.6,36.35,19.27,55100,50.5,2.22,7.9,.843,573.7,8.51,458,106,.634,3.2,104,608
76800,114000,3.98,789,6020,18700,2.89,1.05,4.644,27.9,4050,.337,23.4,27.68,19.52,50500,55.4,2.36,7.8,.912,318.6,9.56,253,139,.733,4.2,122,609
90500,64000,3.91,849,5580,28100,2.42,1.15,4.426,28.17,4140,.37,22.4,42.54,26.53,68700,53.2,2.42,9.8,.875,483.6,10.69,585,186,.709,3.75,147,610
80300,86700,4.48,868,8620,21700,2.94,1.178,5.101,29.31,5040,.424,28.8,33.33,23.03,60100,60.7,2.64,9,1.019,395.8,10.67,386,135,.728,4.09,114,611
72600,106500,3.95,942,6160,16600,2.84,1.109,4.57,26.81,4320,.338,21.2,33.21,21.45,57000,53.5,2.56,6.8,.851,399,9.35,349,139,.639,3.48,121,612
63200,89300,4.04,1066,9050,17100,2.05,1.074,4.295,23.8,3750,.324,19.6,30.82,17.66,48800,48.5,2.24,4.7,.795,472.5,8.34,393,106,.729,3.4,105,613
70100,101700,4.07,754,10760,16500,2.21,1.148,4.513,26.86,4340,.341,24.3,30.79,20.98,53100,53.2,2.25,7.2,.916,388.6,8.71,348,117,.788,4.47,105,614
76600,61900,4.29,821,6930,20500,2.19,1.069,4.608,28.24,4160,.356,22.5,41.59,23.39,61500,56.6,2.38,7.7,.9,533.8,9.69,523,130,.673,4.72,112,615
78400,80100,4.09,762,7780,20800,2.41,1.14,4.862,28.52,4810,.355,21.2,31.77,22.64,56500,57,2.33,7.9,.974,390.3,9.7,336,145,.823,4.19,110,616
77200,86700,3.7,914,6810,19900,2.36,1.103,4.373,26.89,3730,.336,24.3,36.71,22.17,59000,52.8,2.36,7.1,.859,487.5,9.46,466,147,.672,3.64,110,617
75500,100500,3.94,794,4770,22900,2.95,1.088,4.589,28.29,4020,.339,22.5,33.61,21.17,55600,55,2.28,9.2,.957,371.8,9.55,339,120,.727,3.37,134,618
65500,76400,3.94,1223,8620,20800,2.18,1.084,4.681,28.27,3850,.32,24.3,32.14,18.9,50000,51.7,2.17,5.2,.858,501.6,8.96,380,87,.73,3.85,78,619
71800,56400,4.46,1015,8990,20900,2.11,1.096,4.824,29.35,4110,.356,26.9,33.35,19.4,52900,57.5,2.3,5.8,.925,514,9.53,381,127,.808,4.41,104,620
78500,99400,3.97,894,6720,19200,2.15,1.027,4.371,25.65,3900,.347,22.4,39.98,24.56,62900,52.6,2.48,9.3,.853,494.6,9.6,470,123,.69,4.01,132,621
63600,52500,4.07,977,8940,16700,2,1.177,4.624,27.73,4110,.339,23.2,30.8,18.45,51000,54.3,2.25,5.4,.886,491.3,9.15,373,106,.729,4.38,102,622
76600,103200,3.91,976,6720,22900,2.92,1.086,4.69,29.54,4010,.368,24.4,35.43,22.11,59400,56.2,2.31,8.4,.927,425.3,9.61,366,116,.713,4.29,135,623
