"Late Helladic IIIA",91100,93000,4.77,1040,6200,28000,2.35,1.31,5.12,30.7,4330,.425,30.4,28.54,22.03,54700,63.5,2.71,8.87,.866,260,11.25,195,171,.88,3.56,124,194,-1350
"Late Helladic IIIA",81600,125000,4.86,1011,5700,23000,2.14,1.39,5.28,32.2,3770,.38,27.2,28.12,19.55,50100,61.6,2.56,7.98,.811,233,10.5,176,148,.64,3.68,113,195,-1350
"Late Helladic IIIA",83700,84000,4.65,848,7800,25000,2.36,1.33,5.14,30.8,4630,.4,26.6,23.97,19.08,50000,60.7,2.74,7.26,.851,272,10.59,122,158,.54,4.18,119,196,-1350
"Late Helladic IIIA",93400,91000,4.67,924,8400,25000,2.32,1.32,5.34,34,4660,.39,28.1,28.41,22.76,53400,66.7,2.69,9.58,.872,271,11.55,210,184,.71,3.68,130,197,-1350
"Late Helladic IIIA",98300,86000,4.57,1015,4400,34000,2.35,1.33,5.12,32.7,4610,.411,26,29.86,23.74,57000,66.2,2.65,9.91,.909,264,11.64,246,246,.68,3.35,128,198,-1350
"Late Helladic IIIA",77800,97000,4.39,942,4200,27000,2.23,1.35,5.01,32,4690,.392,26.5,28.33,20.29,49200,58.4,2.55,8.14,.802,237,10.17,208,149,.67,3.82,103,199,-1350
"Late Helladic IIIA",65300,103000,4.11,894,5800,22000,2.01,1.21,4.64,26.9,3780,.359,24.6,25.16,16.8,41400,53.2,2.26,6.36,.731,187,9.16,166,124,.66,2.85,99,200,-1350
"Late Helladic IIIA",74300,104000,4.4,954,5400,31000,2.24,1.27,4.84,29,3890,.376,25,27.51,19.74,47900,57.2,2.42,7.44,.785,213,10.16,202,142,.73,3.28,120,201,-1350
"Late Helladic IIIA",87900,84000,4.78,857,5700,32000,2.35,1.46,5.31,34.9,4630,.427,28.2,27.32,23.3,52000,68.8,2.77,9.8,.93,252,12.09,190,188,.74,3.64,128,202,-1350
"Late Helladic IIIA",89800,90000,4.47,990,3600,31000,2.33,1.4,5.19,34.3,4810,.388,29.4,31.79,23.4,56600,63.6,2.61,9.39,.872,272,11.18,249,182,.64,3.13,107,203,-1350
"Late Helladic IIIB",56900,144000,3.72,907,5300,23000,1.82,1.18,4.29,24.7,2920,.301,23.3,23.43,14.72,36500,44.5,2.13,5.4,.621,167,8.03,126,123,.66,3.74,110,204,-1250
"Late Helladic IIIB",82500,116000,4.65,965,9000,17000,2.34,1.32,5.14,33.2,3580,.394,26.7,30.18,21.52,51700,61.7,2.5,8.47,.85,253,10.57,157,178,.81,4.04,131,205,-1250
"Late Helladic IIIB",67800,103000,4.2,776,7800,22000,1.86,1.26,4.56,26,3760,.355,22.2,24.97,16.93,42200,51,2.25,5.68,.757,249,8.65,204,145,.63,3.71,112,206,-1250
"Late Helladic IIIB",71600,99000,4.64,1081,6400,24000,2.16,1.4,5.1,30.1,3880,.386,24.2,31.82,18.53,47400,55.1,2.51,7.52,.8,285,9.36,239,167,.72,3.89,122,207,-1250
"Late Helladic IIIB",69400,96000,4.05,905,4100,24000,1.94,1.33,4.71,27.6,3380,.337,25.9,31.6,18.97,45500,51.9,2.41,7.16,.737,362,8.5,271,123,.82,3.65,94,208,-1250
"Late Helladic IIIB",81600,98000,4.3,1014,5400,29000,2.27,1.3,4.98,30.7,3690,.388,27.9,30.13,21.22,52900,61.7,2.31,8.43,.845,263,10.77,174,185,.88,3.63,132,209,-1250
"Late Helladic IIIB",80200,102000,4.56,958,4200,27000,2.32,1.42,5.21,34.1,3940,.401,28.1,32.34,21.47,52300,61.4,2.53,8.76,.822,259,10.81,222,185,.78,3.08,125,210,-1250
"Late Helladic IIIB",79900,106000,4.26,830,4800,32000,2.29,1.28,5.06,30.9,4390,.367,25.9,27,21.1,50100,62.4,2.54,10.26,.815,234,10.82,200,184,.72,3.85,110,211,-1250
"Late Helladic IIIB",71400,94000,4.22,880,6100,24000,2.06,1.22,4.69,26.9,3750,.342,21,27.67,19.08,45000,57.5,2.42,6.79,.767,243,9.7,201,180,.79,4.24,115,212,-1250
"Late Helladic IIIB",85100,73000,4.3,908,5000,31000,2.33,1.31,4.79,29,4530,.391,25.2,29.04,21.99,53800,59.8,2.5,8.85,.87,266,10.75,217,189,.68,3.43,112,213,-1250
"Late Helladic I-II",82700,95000,4.38,1026,5200,33000,2.34,1.28,4.79,30.4,4570,.393,26.6,28.87,22.54,57300,61,2.65,10.18,.884,256,11.46,225,191,.85,4,115,214,-1480
"Late Helladic I-II",85600,96000,4.69,918,3700,29000,2.55,1.53,5.41,33.8,4500,.403,28.3,34.78,22.97,51900,65.1,2.81,10.16,.857,275,11.39,247,172,.86,3.17,131,215,-1480
"Late Helladic I-II",89900,95000,4.6,1071,4400,30000,2.51,1.44,5.22,34.5,4530,.397,31.3,31.08,23.77,60200,66.6,2.86,10.2,.845,275,11.89,216,178,.84,3.45,141,216,-1480
"Late Helladic I-II",82100,105000,4.58,949,8300,25000,2.4,1.41,5.18,32.7,4530,.386,28.1,29.07,21.55,55400,61.8,2.55,9.26,.817,268,10.84,258,163,.74,3.49,129,217,-1480
"Late Helladic I-II",87400,92000,4.65,948,5400,28000,2.46,1.36,5.08,32.8,4610,.373,27.2,29.57,23.63,57800,64,2.66,9.78,.865,267,11.6,225,193,.87,3.98,113,218,-1480
"Late Helladic I-II",85700,89000,4.95,888,8000,28000,2.26,1.53,5.46,34.6,4660,.396,28.1,28.65,22.01,56200,66.5,2.82,8.09,.864,252,11.32,216,163,.86,2.78,120,219,-1480
"Late Helladic I-II",90200,86000,4.58,1060,4700,23000,2.41,1.37,5.18,32.7,5000,.381,28.5,30.87,22.42,57200,63,2.73,9.8,.843,259,11.69,212,173,.84,3.73,128,220,-1480
"Late Helladic I-II",89500,107000,4.52,1030,4300,30000,2.49,1.43,5.19,34,4290,.374,29.4,33.24,22.96,56800,63.9,2.8,9.77,.831,258,11.28,249,189,.83,2.74,127,221,-1480
"Late Helladic I-II",86100,90000,4.82,1019,4200,28000,2.32,1.33,4.97,31.8,4280,.374,28.2,27.39,21.73,56000,62.7,2.66,8.79,.819,224,11.05,241,186,.82,3.2,118,222,-1480
"Late Helladic I-II",95000,80000,4.92,986,9000,24000,2.44,1.45,5.4,35.1,5050,.404,29.4,31.48,23.28,57300,68,2.77,9.78,.862,255,11.87,233,177,.86,3.7,133,223,-1480
"",94300,83000,4.77,989,3800,39000,2.64,1.44,5.43,35.8,4700,.412,34,29.82,24.03,59200,64.8,2.79,9.74,.808,257,11.95,250,186,.86,3.22,116,227,-3200
"",72300,75000,3.95,1040,4400,26000,1.84,1.2,4.25,26.1,4050,.326,23.2,36.06,20.3,51200,49.9,2.35,6.91,.72,980,8.05,357,119,.68,3.19,124,229,-3200
"",79100,93000,4.52,945,9700,20000,2.17,1.36,5,30.3,4520,.347,30,31.9,20.91,52000,59.6,2.49,7.29,.801,345,10.28,269,117,.78,4.03,144,230,-1091
"",72200,76000,4.45,932,6900,25000,2.09,1.38,5.02,29.1,4480,.358,25.3,25.75,19.19,50400,58.5,2.58,7.16,.794,265,9.77,218,145,.74,4.19,99,231,-1091
"",84100,90000,4.54,932,8600,21000,2.42,1.37,5.31,32.6,5000,.359,32.9,30.55,22.49,54100,65.7,2.71,9.06,.854,288,11.35,252,144,.7,3.66,108,232,-1091
"",70800,116000,4.28,993,5900,23000,2.21,1.23,4.81,28.9,3980,.377,25,28.95,19.82,50700,55.6,2.5,7.31,.768,316,9.65,251,154,.74,3.56,120,233,-1091
"",90700,77000,4.54,1028,3300,31000,2.54,1.42,5.35,34.7,5030,.406,29.8,30.77,24.72,58100,65.6,2.84,8.97,.848,315,11.95,277,149,.71,3.57,114,234,-1091
"",78200,89000,4.58,896,4300,30000,2.48,1.34,5.17,32.8,4720,.379,27.9,28,21.05,53800,61.8,2.79,8.67,.824,239,11.1,208,179,.79,4.04,118,235,-1091
"",31600,141300,2.88,479,9170,7500,1.15,.666,2.828,14.12,2330,.218,12,10.52,7.71,18200,28.4,1.59,3.9,.466,281.7,4.77,86,40,.487,3.16,48,237,
"",49900,9900,4.47,179,11130,10500,1.72,1.104,4.616,23.59,3460,.351,21,13.98,12.57,28500,45.6,2.48,5.3,.762,394.7,7.57,117,67,.726,5.57,76,238,
"",29100,135200,2.85,499,6650,4800,1.17,.732,2.803,13.7,2660,.231,13.5,9.91,7.53,17200,28,1.49,3.9,.485,232.7,4.44,86,42,.479,3.85,43,239,
"",33600,142300,2.87,512,7190,8700,1.22,.756,2.977,15.04,2280,.263,14.8,11.05,8.14,20700,28.8,1.61,4,.515,260.9,4.86,113,47,.458,3.39,44,240,
