"KRAK-21","KRAK0021","KEAII-1",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"E",87700,138000,4.32,867,15810,6617,2.99,1.2444,5.25,33.2,4390,.3752,28.3,32.8,22.77,56100,64.6,2.8856,24.98,.808,240,11.4,246,82,.77,3.52,109,,679,-1250
"KRAK-22","KRAK0022","KEAII-2",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"F",77900,113000,4.15,774,14210,8481,2.23,1.0833,5.07,30.2,4580,.3784,26.8,31.2,20.48,50100,63,2.6108,9.38,.845,607,9.42,287,80,.79,3.88,116,,680,-1250
"KRAK-23","KRAK0023","KEAII-3",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"G",78400,146000,4.51,948,6360,24977,2.82,1.2534,5.3,30.9,4400,.3795,27.5,30.5,20.16,49600,63.5,2.7376,13.05,.817,205,10.46,160,137,.83,4.03,98,,681,-1250
"KRAK-24","KRAK0024","KEAII-4",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"H",80000,117000,4.64,875,7650,24045,2.74,1.316,5.48,32.5,4400,.4122,30.6,27.2,20.39,49800,63.5,3.0019,9.46,.845,202,10.63,177,141,.87,3.87,101,,682,-1250
"KRAK-25","KRAK0025","KEAII-5",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"J",81400,96000,4.43,851,7400,25536,2.57,1.2802,5.27,31.1,4390,.3995,28,28.6,20.2,53000,63.8,2.875,8.75,.833,228,10.71,154,144,.83,4.22,133,,683,-1250
"KRAK-26","KRAK0026","KEAII-6",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","Some rough inclusions","","","Y","University of Manchester",546,"K",81600,115000,4.38,1162,5950,20876,2.81,1.0743,5.2,31.9,4200,.4439,27,32.2,20.84,48300,65,2.9702,22.52,.795,244,10.34,230,161,.79,3.31,114,,684,-1250
"KRAK-27","KRAK0027","KEAII-7",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"M",87900,108000,4.79,1183,6080,24884,2.56,1.2444,5.46,33.6,4610,.3921,32.8,27.7,22,55700,68.7,2.9596,10.42,.848,212,11.55,137,155,.82,2.84,112,,685,-1250
"KRAK-28","KRAK0028","KEAII-8",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"N",73800,91000,4.31,812,8290,17801,2.32,1.2444,5.24,30,4110,.3826,27.5,23.1,19.17,45800,61.1,2.7905,7.16,.775,182,10.28,182,141,.77,4.68,133,,686,-1250
"KRAK-29","KRAK0029","KEAII-9",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"O",80600,98000,4.1,983,5910,20224,2.52,1.1101,5.02,30.6,4320,.3837,30.7,26.2,20.58,45300,61.6,2.7905,19.52,.772,197,10.61,189,144,.79,2.58,99,,687,-1250
"KRAK-30","KRAK0030","KEAII-10",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","Gray interior","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"P",85700,25000,5.23,1332,4240,21528,2.2,1.2623,5.92,35.3,4500,.4461,33.1,32.4,20.09,52000,77.5,3.1393,14.35,1.076,383,11.85,233,164,.93,5.28,116,,688,-1250
"KRAK-31","KRAK0031","KEAII-11",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"Q",81700,111000,4.82,829,6640,25349,3.02,1.1907,5.52,34.6,4670,.427,29.4,31.2,21.28,54000,66.8,2.9385,10.34,.773,228,11.23,206,137,.86,3.1,104,,689,-1250
"KRAK-32","KRAK0032","KEAII-12",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"R",70600,152000,4.3,955,5730,14725,2.42,1.1191,4.95,30,4090,.3752,27.2,28.3,19.37,47800,56.4,2.6319,11.89,.699,217,9.67,213,117,.82,2.26,118,,690,-1250
"KRAK-33","KRAK0033","KEAII-13",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"S",81100,108000,4.45,858,6700,18733,2.71,1.2086,5.37,33.4,4770,.3932,30.9,29.6,22.19,51600,65.2,2.7588,13.39,.775,242,11.11,236,159,.81,2.79,125,,691,-1250
"KRAK-34","KRAK0034","KEAII-14",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","","","","Y","University of Manchester",546,"T",80400,112000,4.89,886,5440,23858,2.78,1.1012,5.38,33.5,4580,.4112,29.2,32.6,22.08,55900,64.4,3.1499,10.46,.745,237,10.45,235,148,.87,2.69,127,,692,-1250
"KRAK-35","KRAK0035","KEAII-15",37.932,22.892,"East Alley II","Swedish Institute at Athens","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","","Late Helladic IIIB, 1300-1200","Inclusion of a chunk that looks like Fe2O3 (red)","","","Y","University of Manchester",546,"U",80900,116000,4.62,840,5830,22460,2.48,1.1012,5.22,33.4,4250,.4143,27.3,28.9,21.14,51900,65.2,2.8222,8.98,.774,217,11.22,182,181,.79,3,140,,693,-1250
