"KRAK-41","KRAK0041","",37.932,22.892,"","","Rodden, R.","Robert H. Lowie Museum of Anthropology","Pottery","Corinthian","","","","","","","","","","","Y","University of Manchester",636,"O",86000,6100,7.26,382,5010,25349,3.57,1.9875,8.22,47.4,5100,.6035,45.1,30.3,21.93,44200,90.2,4.08,8.28,1.161,324,13.55,253,175,1.35,5.58,170,,699,
"KRAK-42","KRAK0042","",37.932,22.892,"","","Rodden, R.","Robert H. Lowie Museum of Anthropology","Pottery","Corinthian","","","","","","","","","","","Y","University of Manchester",636,"P",60700,98000,3.57,465,11390,16216,2.16,.7699,3.6,21.2,3180,.3509,19.2,16.9,15,38500,43.9,2.1563,5.4,.646,348,8.11,202,91,.52,4.42,96,,700,
"KRAK-43","KRAK0043","",37.932,22.892,"","","Rodden, R.","Robert H. Lowie Museum of Anthropology","Pottery","Corinthian","","","","","","","","","","","Y","University of Manchester",636,"Q",81700,110000,3.94,850,4960,24977,2.32,1.0922,4.19,29.8,4330,.4101,25.1,27.8,20.54,48300,61.8,2.5791,8.65,.754,250,10.79,168,174,.72,2.83,189,,701,
"KRAK-45","KRAK0045","",37.932,22.892,"","","Rodden, R.","Robert H. Lowie Museum of Anthropology","Pottery","Corinthian","","","","","","","","","","","Y","University of Manchester",636,"S",86500,93000,4.65,924,6060,25349,2.46,1.1638,5.36,34.1,4830,.3953,28.1,29.4,23.28,38300,69.4,2.9807,10.13,.891,240,11.76,184,184,.82,3.83,130,,703,
