site,al,ca,dy,mn,na,k,u,eu,sm,la,ti,lu,nd,co,sc,fe,ce,yb,cs,ta,cr,th,ni,rb,tb,hf,zn,id
"Festos [Phaistos]",72700,68000,4.35,911,7450,32800,2.18,.926,4.68,29.3,4070,.347,24.4,32.56,20.46,55200,58.5,2.51,6.39,.935,455,9.81,392,165,.71,3.63,106,572
"Festos [Phaistos]",64700,108000,4.02,820,5710,27600,2.77,.962,4.48,27.7,4510,.368,21.2,27.09,18.2,47200,54.1,2.38,6.37,.864,314,8.83,264,124,.74,3.71,107,573
"Festos [Phaistos]",83800,102000,4.16,839,6710,26900,3.05,1.165,5.02,30.1,4580,.371,29.2,30.86,21.5,55700,64.2,2.58,9,1.055,349,10.44,316,141,.84,4.03,135,574
"Festos [Phaistos]",91700,68000,3.86,862,4640,31700,2.45,1.025,4.44,27.5,4650,.372,22.1,38.79,25.22,63800,57.5,2.46,9.3,1.014,419,10.3,544,144,.71,3.53,133,575
"Festos [Phaistos]",78000,88000,4.47,877,12010,21700,2.57,1.2,4.94,28.9,4230,.37,24.1,31.48,20.02,53500,60.2,2.58,6.1,1.011,429,9.8,361,79,.84,3.77,98,576
"Festos [Phaistos]",94900,93000,4.31,816,5170,32600,2.71,1.131,5.02,29.8,4290,.371,25.8,38.07,22.92,59500,62.3,2.61,9.34,1.216,403,10.77,362,148,.79,3.97,139,577
"Festos [Phaistos]",98000,97000,4.45,896,3700,32400,3.03,1.102,4.77,28.8,4280,.364,24.1,36.56,24.05,61700,57.4,2.51,10.3,1.175,391,10.48,376,183,.79,4.38,137,578
"Festos [Phaistos]",81900,113000,4.14,784,12430,13700,2.24,1.065,4.56,27.9,3710,.361,25,36.34,23.39,60000,51.2,2.42,8.13,1.073,416,9.97,443,148,.8,3.81,127,579
"Festos [Phaistos]",77600,92000,4.69,834,12280,17600,2.37,1.275,5.06,28.3,4690,.379,25.1,32.88,22.66,59100,56.8,2.6,7.65,1.17,384,10.06,322,99,.76,4.28,130,580
"Festos [Phaistos]",62000,60000,4.35,1111,10990,26600,2.18,1.14,4.57,25.5,3660,.309,23.2,29.42,17.28,47500,56.3,2.3,4.38,1.006,494,8.77,389,118,.73,4.04,112.7,581
"Festos [Phaistos]",68800,94000,4.84,889,12970,20600,2.46,1.101,4.84,27.5,3640,.383,23.7,31.43,19.69,54300,57.5,2.47,5.83,1.065,424,9.85,396,118,.84,4.02,90,582
"Festos [Phaistos]",79000,64000,4.1,1052,11260,21200,2.39,1.084,4.43,25.1,3510,.367,21.8,36.6,21.57,57800,52.8,2.33,7.75,1.01,437,8.9,453,81,.66,3.14,94,583
"Festos [Phaistos]",70000,66000,4.12,974,8370,16500,2.15,1.16,4.867,29.52,4390,.357,26.4,34.09,19.98,55100,57.7,2.41,5.8,.915,512.3,9.92,418,119,.752,4.37,119,584
"Festos [Phaistos]",73000,57100,4.4,940,9260,25000,2.11,1.175,4.792,29.19,4390,.313,25.8,35.27,20.44,56900,58.1,2.43,5.8,.935,502,9.9,469,131,.789,4.34,129,585
"Festos [Phaistos]",86800,83400,4.25,896,4890,26300,2.46,1.175,4.845,30.63,4620,.389,28.8,38.92,24.68,62700,60.2,2.52,11.1,.939,444.4,11.1,489,146,.728,4.01,140,586
"Festos [Phaistos]",90000,46800,3.94,817,5590,31800,2.35,1.091,4.589,28.24,4740,.354,25.4,40.25,24.27,65200,56,2.34,10.2,1,396,10.35,408,160,.647,4.09,154,587
