site,al,ca,dy,mn,na,k,u,eu,sm,la,ti,lu,nd,co,sc,fe,ce,yb,cs,ta,cr,th,ni,rb,tb,hf,zn,id
"Korakou",80000,117000,4.64,875,7650,24045,2.74,1.316,5.48,32.5,4400,.4122,30.6,27.2,20.39,49800,63.5,3.0019,9.46,.845,202,10.63,177,141,.87,3.87,101,682
"Korakou",81400,96000,4.43,851,7400,25536,2.57,1.2802,5.27,31.1,4390,.3995,28,28.6,20.2,53000,63.8,2.875,8.75,.833,228,10.71,154,144,.83,4.22,133,683
"Korakou",81600,115000,4.38,1162,5950,20876,2.81,1.0743,5.2,31.9,4200,.4439,27,32.2,20.84,48300,65,2.9702,22.52,.795,244,10.34,230,161,.79,3.31,114,684
"Korakou",87900,108000,4.79,1183,6080,24884,2.56,1.2444,5.46,33.6,4610,.3921,32.8,27.7,22,55700,68.7,2.9596,10.42,.848,212,11.55,137,155,.82,2.84,112,685
"Korakou",73800,91000,4.31,812,8290,17801,2.32,1.2444,5.24,30,4110,.3826,27.5,23.1,19.17,45800,61.1,2.7905,7.16,.775,182,10.28,182,141,.77,4.68,133,686
"Korakou",80600,98000,4.1,983,5910,20224,2.52,1.1101,5.02,30.6,4320,.3837,30.7,26.2,20.58,45300,61.6,2.7905,19.52,.772,197,10.61,189,144,.79,2.58,99,687
"Korakou",85700,25000,5.23,1332,4240,21528,2.2,1.2623,5.92,35.3,4500,.4461,33.1,32.4,20.09,52000,77.5,3.1393,14.35,1.076,383,11.85,233,164,.93,5.28,116,688
"Korakou",81700,111000,4.82,829,6640,25349,3.02,1.1907,5.52,34.6,4670,.427,29.4,31.2,21.28,54000,66.8,2.9385,10.34,.773,228,11.23,206,137,.86,3.1,104,689
"Korakou",70600,152000,4.3,955,5730,14725,2.42,1.1191,4.95,30,4090,.3752,27.2,28.3,19.37,47800,56.4,2.6319,11.89,.699,217,9.67,213,117,.82,2.26,118,690
"Korakou",81100,108000,4.45,858,6700,18733,2.71,1.2086,5.37,33.4,4770,.3932,30.9,29.6,22.19,51600,65.2,2.7588,13.39,.775,242,11.11,236,159,.81,2.79,125,691
"Korakou",80400,112000,4.89,886,5440,23858,2.78,1.1012,5.38,33.5,4580,.4112,29.2,32.6,22.08,55900,64.4,3.1499,10.46,.745,237,10.45,235,148,.87,2.69,127,692
"Korakou",80900,116000,4.62,840,5830,22460,2.48,1.1012,5.22,33.4,4250,.4143,27.3,28.9,21.14,51900,65.2,2.8222,8.98,.774,217,11.22,182,181,.79,3,140,693
"Korakou",83700,108000,4.56,872,6190,26095,2.58,1.1549,5.39,34.2,4390,.3837,33.1,30,21.92,53800,66.2,2.9173,9.13,.778,244,11.28,190,179,.9,2.72,124,694
"Korakou",83900,120000,4.47,860,15130,9133,2.71,1.2534,5.43,34.7,4290,.4365,30.5,33.6,22.53,58900,64.8,2.8116,11.12,.783,241,11.24,234,67,.93,3.2,146,695
"Korakou",81700,124000,4.78,930,6090,23206,2.76,1.1907,5.36,33,4450,.4196,28.4,31,20.81,55100,61.2,2.875,12.86,.754,222,10.21,229,177,.79,2.36,93,696
"Korakou",82400,111000,4.52,781,6990,23579,3.01,1.2355,5.41,34,4230,.3953,29.7,30.4,21.89,51700,65.6,2.9068,11.08,.788,250,11.13,221,127,.72,2.7,120,697
"Korakou",82000,107000,4.62,834,5510,29450,2.6,1.1996,5.28,32.7,4410,.3985,29.7,28,21.52,54800,64.5,2.7059,11.08,.761,197,10.53,193,161,.83,3.45,111,698
"Korakou",86000,6100,7.26,382,5010,25349,3.57,1.9875,8.22,47.4,5100,.6035,45.1,30.3,21.93,44200,90.2,4.08,8.28,1.161,324,13.55,253,175,1.35,5.58,170,699
"Korakou",60700,98000,3.57,465,11390,16216,2.16,.7699,3.6,21.2,3180,.3509,19.2,16.9,15,38500,43.9,2.1563,5.4,.646,348,8.11,202,91,.52,4.42,96,700
"Korakou",81700,110000,3.94,850,4960,24977,2.32,1.0922,4.19,29.8,4330,.4101,25.1,27.8,20.54,48300,61.8,2.5791,8.65,.754,250,10.79,168,174,.72,2.83,189,701
"Korakou",86500,93000,4.65,924,6060,25349,2.46,1.1638,5.36,34.1,4830,.3953,28.1,29.4,23.28,38300,69.4,2.9807,10.13,.891,240,11.76,184,184,.82,3.83,130,703
"Laurion",105600,55700,5.86,615,3430,25300,4.33,1.585,7.161,47.44,5390,.495,36.7,20.69,22.69,49300,97.6,3.65,20.4,.076,166.6,18.93,114,147,.942,6.29,1463,704
"Laurion",90600,44000,5.13,1544,7460,15400,2.39,1.551,5.984,37.98,5380,.405,33.3,25.35,20.72,49300,75.2,3.06,5.8,1.172,238.5,12.83,168,65,.859,5.47,3721,705
"Laurion",100800,44200,5.49,730,4630,20300,3.08,1.52,6.322,38.02,4560,.477,35.9,27.04,22.2,57200,76.5,3.34,12.4,1.327,252.4,16.07,195,124,.868,5.21,4954,706
"Mycenae",93100,95300,5.61,770,2410,27200,2.44,1.212,5.091,33.58,4510,.442,25.8,32.91,24.9,54400,62.2,2.85,11,.801,281.1,10.92,279,170,.69,3.03,130,740
"Mycenae",89100,97500,5.46,898,8020,20100,2.42,1.226,5.312,32.95,4600,.393,24.9,29.66,22.26,53300,66.7,2.78,9.3,.896,241.3,11.37,219,147,.778,3.78,122,741
"Mycenae",78700,104900,4.52,921,6160,28700,2.24,1.192,5.091,31.65,3780,.391,32.8,27.95,21.22,49700,62.3,2.55,9.4,.8,261.1,10.61,225,146,.874,4.26,120,742
"Mycenae",83400,97600,4.55,958,9670,22200,2.26,1.183,5.234,32.59,4250,.384,25.7,27.52,21.21,51600,63.7,2.61,9.7,.851,248.6,10.88,222,164,.778,3.94,127,743
"Mycenae",92200,84900,4.73,890,4570,26400,2.61,1.261,5.497,35.58,4740,.441,31.9,30.32,24.24,54600,67.7,2.58,10.3,.866,276.5,12.2,220,185,.793,3.58,140,744
"Mycenae",82900,93200,4.39,935,6360,29600,2.26,1.209,5.098,32.99,4460,.382,24.5,27.17,20.63,51300,62.8,2.54,9.2,.865,282,11.3,219,132,.797,4.49,126,745
"Mycenae",71000,109400,4.46,827,5250,25200,1.99,1.138,4.926,28.68,3660,.367,26.4,28.09,19.73,44800,57.3,2.57,8.3,.759,290.6,10.07,240,116,.811,3.6,124,746
"Mycenae",78100,103100,4.48,861,4780,28100,2.28,1.123,5.181,31.97,4150,.375,28.3,26.34,20.75,49100,60.8,2.5,8.7,.787,246.4,10.51,206,149,.722,3.95,113,747
"Mycenae",75400,87000,4.38,933,6840,30500,2.24,1.135,4.96,30.58,4280,.379,24.3,25.81,20.58,48700,60,2.53,8.6,.792,288,10.28,209,146,.76,3.86,123,748
"Mycenae",82000,105700,4.32,897,4960,24200,2.29,1.201,5.163,32.13,4400,.367,27.8,30.88,22.63,50400,62.3,2.57,10.8,.782,277.6,10.76,250,162,.694,3.57,122,749
"Mycenae",78800,88500,4.25,939,7320,23900,2.13,1.107,4.776,29.48,4110,.354,24.5,26.67,20.8,50900,61,2.43,8.4,.837,313,10.5,216,139,.67,4.1,113,750
"Mycenae",84300,97800,4.56,755,5650,24800,2.29,1.178,5.124,32.05,4240,.395,30.4,28.01,22.07,52200,62.1,2.57,9.6,.817,281.2,10.95,224,153,.799,3.69,121,751
"Mycenae",82600,97500,4.37,778,4420,29800,2.33,1.232,5.225,31.43,4070,.384,27.7,29.65,22.43,53300,60.4,2.44,10.5,.785,249.9,10.56,237,152,.731,3.15,199,752
"Mycenae",88500,19700,7.16,314,3960,15300,4.04,2.037,9.081,55.48,6190,.536,46.2,21.91,17.62,17300,119.1,3.88,7.8,2.035,148.4,16.9,35,103,1.256,8.3,117,753
"Mycenae",81100,95700,4.54,939,5690,24200,2.28,1.219,5.143,32.72,4060,.36,28.1,30.12,21.25,52100,60.7,2.5,8.6,.922,245,10.36,219,137,.872,2.99,184,754
"Mycenae",76300,87500,4.05,955,8700,19100,2.17,1.146,4.883,29.35,4520,.364,25.8,29.11,21.48,52900,60.4,2.28,9.7,.833,235.9,10.83,165,164,.849,3.58,113,755
"Mycenae",81600,98600,4.41,967,6980,22600,2.3,1.267,5.188,31.72,4220,.386,27.3,28.17,21.6,53600,64,2.4,8.4,.838,251.9,10.94,233,135,.814,3.56,133,756
"Mycenae",82400,90300,4.44,930,5590,27900,2.48,1.22,5.14,31.96,4520,.36,30.1,28.59,21.47,53500,62.9,2.66,8.9,.844,255.4,11.05,219,127,.815,3.93,130,757
"Mycenae",78800,98900,4.63,817,6000,27100,2.51,1.183,5.283,30.46,4150,.354,27.2,28.77,20.72,49100,62.5,2.57,8.1,.838,269.9,10.55,268,118,.892,3.67,135,758
"Mycenae",83000,104500,4.42,878,4180,27800,2.09,1.184,5.001,29.56,4070,.356,24.4,29.6,21.54,54200,59,2.34,8.9,.771,266.7,10.38,249,135,.899,3.64,139,759
"Mycenae",85100,122500,4.47,959,5180,30900,2.25,1.162,4.994,30.71,3570,.394,26.3,27.49,21.32,52200,61.4,2.45,9.4,.792,228.7,10.72,209,160,.813,3.8,138,760
"Mycenae",78100,99600,4.64,809,6860,24200,2.16,1.094,4.95,29.73,3760,.375,24.1,26.45,19.62,49700,58.7,2.4,8,.834,246.1,10,199,142,.693,3.78,129,761
"Mycenae",88400,132100,4.05,850,3450,28800,2.27,1.184,4.809,31.34,3780,.371,26.7,28.67,22.56,51400,57.8,2.26,9.7,.744,267.8,10.21,247,161,.738,3.59,113,762
"Mycenae",48200,127200,3,709,2720,17400,1.24,.819,3.216,19.17,2410,.218,15.2,21.18,13.65,36700,36.1,1.59,3.6,.516,331,5.74,393,99,.455,2.41,97,763
"Mycenae",81800,84400,4.64,1075,4220,24600,2.59,1.258,5.45,32.24,4180,.401,28.2,32.26,20.54,49900,67.1,2.62,8,.9,238.4,10.68,240,126,.863,3.71,106,764
"Mycenae",82300,139400,4.46,882,7770,16600,2.54,1.206,5.227,31.14,4350,.372,28.1,28.22,21.28,50900,59.9,2.51,8.3,.813,259.8,10.53,216,127,.868,3.3,122,765
"Mycenae",98400,91300,4.53,1123,2910,28700,2.6,1.198,5.272,34.17,6710,.392,31.4,32.62,25.09,60100,65.6,2.56,10.3,.845,273.7,11.5,242,178,.696,3.36,143,766
"Mycenae",86400,108600,4.43,897,6040,32600,2.27,1.219,5.038,31.33,4010,.366,29.7,29.87,22.52,53000,61.5,2.41,8.8,.846,330,10.98,277,157,.762,3.76,122,767
"Mycenae",85300,109900,4.47,1012,5580,24800,2.5,1.147,4.928,31.36,3970,.35,29.7,32.87,21.77,55100,60.2,2.56,8.9,.778,249.4,10.63,249,159,.829,3.16,139,768
"Mycenae",91900,117000,4.68,1031,12300,14400,2.42,1.269,5.338,33.66,4230,.399,33.2,29.69,23.13,56200,65.9,2.59,9.2,.871,255.7,11.57,212,95,.764,3.45,143,769
"Mycenae",72400,118500,4.81,1031,5610,22300,2.82,1.373,5.649,33.19,3580,.406,30.5,31.16,19.42,48100,62.2,2.66,7.6,.785,293.6,9.75,255,136,.909,3.31,113,770
"Mycenae",78700,100200,4.41,878,5800,25200,2.18,1.16,4.935,30.69,3940,.385,29.4,28.21,20.58,48300,59.1,2.43,8.1,.808,259.2,10.5,204,149,.732,3.85,130,771
"Mycenae",75300,57500,4.7,767,14020,24100,2.05,1.231,5.169,28.32,4460,.39,28,20.7,18.83,48600,59.7,2.64,4.7,.886,198.3,10.68,144,117,.823,4.88,87,772
"Mycenae",88100,92800,4.39,811,3750,33600,2.3,1.195,5.011,32.88,4400,.382,31,32.07,24.18,63100,61.6,2.74,10.6,.784,269.6,11.28,251,173,.801,3.66,130,773
"Mycenae",79700,94600,4.31,819,4760,26200,2.11,1.134,4.857,29.36,3680,.399,26.1,33.21,22.97,58100,58.5,2.68,9.3,.702,344,10.35,332,136,.815,3.13,121,774
"Mycenae",75600,108100,4.37,847,6240,21500,2.23,1.155,4.801,29.62,3810,.357,26.7,29.25,19.49,49200,59.3,2.53,9.5,.702,233.5,9.73,208,120,.798,3.3,120,775
"Mycenae",72200,144400,4.15,848,3420,21700,2.11,1.152,4.776,30.03,3160,.348,27.1,26.83,19.18,48200,56.6,2.64,8,.688,223.3,9.78,228,141,.802,3.3,107,776
"Mycenae",80500,133500,4.77,903,11760,9400,2.52,1.252,5.558,32.3,3620,.401,32.9,29.98,21.7,55900,62.8,2.78,9.5,.758,237.3,11.1,229,167,.878,3.62,140,777
"Mycenae",83500,80800,5.19,1124,10740,21700,2.23,1.449,5.95,32.47,4290,.398,31.2,26.86,21.03,54500,69.2,3.05,4.8,.866,194.1,11.7,161,124,.941,5.09,107,778
"Mycenae",73200,78700,4.34,1027,3520,29500,2.24,1.202,5.166,29.88,4230,.375,29.9,35.44,21.05,49700,61.8,2.66,12.7,.829,275.7,10.45,349,165,.692,3.47,92,779
"Mycenae",75300,104500,4.27,1014,4920,23400,2.89,1.161,5.02,30.54,4300,.369,26.1,31.28,19.3,49100,57.7,2.37,8,.774,208.3,10.15,190,150,.847,3.57,109,780
"Mycenae",95300,86000,4.72,1135,5480,30800,2.45,1.279,5.369,34.8,4640,.399,30.9,32.52,24.46,61100,67.7,2.75,9.8,1.08,240.6,11.77,208,186,.791,4.03,130,781
"Mycenae",71000,78600,4.19,966,3560,25000,2.3,1.133,4.719,28.62,3980,.349,25.7,32.39,19.37,47800,57.4,2.56,13.7,.756,244.4,9.19,257,125,.792,3.49,104,782
"Mycenae",72600,79100,4.55,1242,3740,30300,2.25,1.204,5.149,30.49,3600,.357,28.5,39.28,19.61,47100,64.7,2.61,10.8,.775,234.5,9.53,316,192,.742,2.7,129,783
"Mycenae",78500,83500,4.67,876,2620,29800,2.48,1.294,5.513,32.42,4460,.394,31.9,34.6,21.84,52600,64.4,2.66,8.8,.846,294.1,10.38,344,159,.926,3.57,113,784
"Mycenae",75900,101500,4.7,1104,5650,21900,2.78,1.289,5.348,31.72,4360,.378,27,38.53,22.15,51900,64,2.88,11.1,.844,285.8,10.51,354,146,.825,3.73,117,785
"Mycenae",89200,96000,4.46,939,9340,21500,2.5,1.228,5.335,34.64,4670,.413,30.7,29.65,23.71,56900,67.8,2.79,10,.892,245.8,11.94,214,157,.77,3.79,132,786
"Mycenae",74300,75300,4.62,1028,4110,31100,2.34,1.201,5.158,31.29,4020,.347,29,38.65,21.05,51100,61.7,2.7,11.3,.788,280.5,9.84,324,163,.726,3.92,118,787
"Mycenae",87500,90200,4.69,1159,2860,27200,2.61,1.321,5.387,32.33,4420,.407,29.3,44.21,22.9,57900,62.7,2.51,18.8,.834,285.3,11,358,182,.846,3.01,149,788
"Mycenae",87600,96200,4.75,930,4070,28700,2.33,1.17,5.179,33.34,4490,.384,28,27.41,22.16,54900,63.9,2.65,8.3,.827,255.9,10.93,209,211,.794,3.21,128,789
"Mycenae",89200,86800,4.97,1048,3730,30500,2.52,1.263,5.5,34.43,4940,.397,31.1,29.5,22.83,57500,68.3,2.69,9.1,.877,233,12.15,180,210,.826,4.08,129,790
"Mycenae",91500,105200,4.58,1010,5750,28700,2.38,1.196,5.191,33.68,4370,.403,33.2,32.11,23.87,57100,65.3,2.7,10.7,.797,291.2,11.16,287,195,.773,3.19,115,791
"Mycenae",99200,89400,5.54,989,4810,35300,2.65,1.245,5.611,37.42,4680,.416,34.2,34.08,26.5,61100,71.5,2.89,10.5,.888,288.7,12.74,252,258,.712,3.52,140,792
"Mycenae",80800,91300,4.48,931,5970,22000,2.07,1.077,4.692,29.41,4060,.36,26.7,29.27,21.54,50400,58.2,2.63,6.9,.754,290.5,10.5,223,142,.733,3.66,114,793
"Mycenae",83400,88900,4.69,917,3080,33300,2.47,1.216,5.486,33.99,4400,.375,31.6,35.11,22.53,53100,65.9,2.7,19.6,.836,288.5,10.92,330,230,.759,3.54,118,794
"Mycenae",93200,77400,5.1,1011,4890,31000,2.67,1.304,5.661,36.27,5140,.406,29.8,31.35,24.96,56800,69.6,2.67,10.1,.836,252.8,11.65,251,182,.804,3.73,130,795
"Mycenae",86800,63100,4.37,689,5310,31200,2.53,1.092,5.261,33.08,4810,.396,29.9,34.51,23.37,51600,67.6,2.46,16.9,.963,317.5,12.17,341,206,.753,4.46,130,796
"Mycenae",94600,81800,4.81,946,5290,32100,2.65,1.262,5.637,37.31,4650,.4,35.7,31.65,25.3,58900,69.5,2.7,10,.912,247.5,12.13,214,214,.964,3.45,130,797
"Mycenae",83400,86900,5.03,874,4660,30000,2.83,1.238,5.625,32.83,4560,.379,30.1,38.69,22.53,54700,67.6,2.75,11.9,.869,279.1,10.86,303,159,.843,3.83,131,798
"Mycenae",90300,100500,4.43,962,5720,28100,2.34,1.217,5.161,33.64,4510,.393,28.4,33.31,22.67,56700,63.1,2.53,9.5,.868,271.7,11.43,230,163,.815,3.64,130,799
"Mycenae",88400,93700,4.28,923,4870,28700,2.25,1.158,4.874,31.64,3810,.393,27.7,29.08,22.55,52300,59.8,2.59,9.4,.77,299.9,10.38,223,171,.681,3.65,123,800
"Mycenae",89300,119300,4.4,839,4000,26600,2.35,1.193,4.993,32.54,4200,.405,26.8,29.62,22.79,53100,61.9,2.5,9.7,.795,274.8,10.84,216,165,.745,3.13,144,801
"Mycenae",100400,93300,4.74,972,3600,28600,2.49,1.247,5.274,34.64,4290,.411,31,30.22,24.87,61200,67.3,2.61,10.4,.876,278.7,12.06,234,166,.903,3.39,117,802
"Mycenae",82400,111500,4.26,844,14630,12900,2.26,1.152,4.967,30.37,4250,.345,26,29.93,22.07,53300,59,2.31,9.1,.826,375.8,10.35,257,86,.791,3.54,123,803
"Mycenae",75300,112400,4.26,816,3360,23900,2.54,1.131,4.798,30.04,3830,.35,26.9,32.12,19.7,44500,57.9,2.35,14.2,.772,267.8,9.28,292,147,.72,2.83,100,804
"Mycenae",90600,110200,4.77,929,7140,25900,2.4,1.111,5.132,31.88,4270,.363,28.1,29.73,22.2,54600,62.3,2.67,9.3,.863,300.5,11.02,234,148,.93,3.76,127,805
"Mycenae",83900,113900,4.43,1001,5930,24900,2.31,1.157,5.243,32.74,3860,.368,26.4,31.43,22.33,58900,62.7,2.52,8.7,.833,345.2,10.75,235,155,.781,3.45,125,806
"Mycenae",94400,92800,4.47,958,4020,30200,2.48,1.233,5.379,36.23,4730,.446,31.7,30.04,23.72,61400,67.8,2.5,10.3,.896,256.3,12.2,158,164,.857,3.34,147,807
"Mycenae",86200,123500,4.72,1106,7280,20100,2.37,1.283,5.461,34.31,4100,.437,29,31.93,21.63,55900,61.6,2.42,9.3,.854,334.1,10.8,245,126,.828,3.16,123,808
"Mycenae",89900,89500,4.59,720,2370,29900,2.37,1.189,5.085,32.14,4370,.375,27.8,30.43,22.99,55600,61.7,2.56,10,.986,263.1,11.17,241,167,.652,3.08,143,809
"Mycenae",99600,89200,5.72,771,6570,22700,2.49,1.496,6.704,36.36,5700,.442,33.6,26.26,23.26,52800,79.6,3.15,7.1,1.44,173.6,13,127,131,1.033,4.96,140,810
"Mycenae",97200,92500,4.91,777,3310,29700,2.65,1.222,5.402,33.76,4670,.382,32.5,30.75,25.05,55200,66.8,2.72,10.9,1.078,259.7,12.27,241,187,.688,3.85,146,811
"Mycenae",92600,85700,4.8,998,4590,28200,2.28,1.246,5.418,33.57,4980,.371,30.8,29.51,22.86,55700,64.4,2.63,9.4,1.052,243.3,11.59,200,173,.699,3.68,129,812
"Mycenae",85500,98600,4.98,877,6210,30400,2.37,1.27,5.353,35.65,4220,.373,27.2,25.94,21.34,53000,63.6,2.71,8.2,1.02,240.4,11.32,175,145,.709,4.07,120,813
"Mycenae",72100,117400,3.96,981,5020,22400,2.08,1.09,4.731,28.4,4440,.344,25.3,27.11,19.26,45500,56.9,2.29,7.6,.844,224.5,9.64,195,117,.725,3.11,120,814
"Mycenae",90000,79300,4.76,1100,4170,27900,2.48,1.253,5.381,37.06,5010,.4,28.8,30.77,23.64,60500,69.6,2.66,9.3,1.062,245,12.01,238,158,.746,3.43,143,815
"Mycenae",86400,101700,4.54,848,2190,29800,2.36,1.222,5.07,30.61,5060,.352,28.3,32.84,23.7,55700,60.7,2.57,10.5,.951,283.4,10.8,256,168,.823,2.94,135,816
"Mycenae",88900,81200,4.86,917,3630,33200,2.5,1.207,5.315,36.27,4520,.41,29.7,30.56,24.4,55300,67.6,2.72,10.3,1.015,239.6,12.04,230,181,.814,3.27,125,817
"Aegina",68900,126600,4.32,779,8980,18500,2.04,1.095,4.722,29.47,4290,.335,21.8,26.84,19.25,47400,55.1,2.45,9.9,.901,248.2,9.72,199,139,.756,3.61,128,818
"Orchemenos",79200,80500,4.9,960,5510,33300,2.51,1.258,5.375,35.26,5000,.422,29.3,28.29,21.57,53000,64.4,2.74,9.2,1.034,255.4,11.43,195,178,.756,3.94,114,819
"Knossos",82000,108000,5.09,1177,4620,26100,2.28,1.223,5.189,30.69,4550,.381,27.4,30.2,22.01,58500,63.7,2.8,8.9,.972,263.7,11.09,214,167,.903,3.12,135,820
"Knossos",73200,77200,4.65,824,5860,29500,2.26,1.15,4.884,29.66,4340,.357,25.8,26.45,19.48,48700,56.9,2.46,7.2,.902,214.1,10.24,185,143,.738,3.33,128,821
"Knossos",79900,93100,5.03,930,5370,28700,2.39,1.223,5.382,35.32,4540,.396,29.1,30.24,21.85,56000,64.7,2.69,8.8,1.067,242.1,11.59,203,151,.894,3.95,127,822
"Nichoria",79900,4600,7.47,84,3070,19400,3.21,2.164,9.413,47.58,5090,.566,50.5,8.36,18.91,21700,83.4,3.82,7.3,1.184,311.5,11.2,93,107,1.298,6.2,48,823
"Nichoria",64900,22000,5.93,492,4760,14300,2.01,1.83,7.506,39.26,3730,.433,38.8,63.68,15.36,41100,118.5,3.05,6.2,1.006,223.8,10.57,127,119,.955,4.86,103,824
"Nichoria",63400,14700,4.47,255,6010,11100,1.94,1.144,5.051,30.07,3710,.351,27.4,12.34,13.46,37700,71.5,2.57,3.7,.938,306.7,9.2,114,101,.809,5.46,76,825
"Nichoria",76000,4800,4.65,87,4760,16800,2.55,1.155,5.151,33.48,4860,.439,28.8,7.16,16.19,20500,65.2,2.67,6.1,1.103,298.3,9.69,81,101,.815,6.16,64,826
"Nichoria",67600,14500,7.93,669,7110,10400,2.17,1.929,7.835,39.07,3920,.574,37.8,19.43,15.18,41900,86.3,3.86,5.9,1.035,318.4,9.38,196,100,1.332,5.66,92,827
"Nichoria",89400,47400,3.06,292,3390,20100,3.41,.673,3.557,28.54,4770,.34,22.6,8.32,19.9,37200,56.5,2.03,9,1.133,279.6,11.55,102,156,.623,4.93,65,828
"Nichoria",68800,7500,9.4,988,5030,20500,1.86,2.433,9.262,48.12,4000,.594,46.2,28.12,16.18,39700,76.2,4.36,6.4,1.082,176.7,10.29,259,140,1.729,4.85,119,829
"Nichoria",99100,32000,6.17,268,5410,22100,3.31,1.748,7.426,45.99,5090,.486,39.6,20.66,20.69,29700,90.6,3.37,7.4,1.285,313,13.75,206,127,.91,5.42,115,830
"Nichoria",74600,30900,5.34,232,3990,15400,2.81,1.241,5.499,31.74,4210,.45,26.9,10.36,15.19,38200,53.2,2.96,5.8,.935,313.4,9.66,107,111,.864,5.2,65,831
"Nichoria",73100,9700,9.56,857,5250,19500,2.09,2.688,10.297,50.23,4290,.614,50.4,33.2,17.69,39000,80.1,4.67,7.4,1.012,187.7,10.95,177,153,1.634,4.31,125,832
"Nichoria",85500,91600,4.55,862,3590,30500,2.7,1.259,5.607,36.92,4170,.408,31.6,33.21,23,55800,73.4,3.11,11.2,1.043,256.1,11.96,303,210,.84,3.7,116,833
"Nichoria",76000,76300,4.37,1152,3050,26700,2.43,1.21,5.154,31.19,3900,.391,27.9,35.31,20.67,51200,65.2,2.82,12.1,.962,239.1,10.57,273,170,.809,3.22,140,834
"Nichoria",84900,58000,5.01,602,3660,31600,2.47,1.303,5.527,34.54,4520,.384,29.9,36.63,23.15,48900,68.8,3.08,12.5,1.069,309.6,11.86,347,158,.749,3.89,119,835
"Nichoria",60100,59500,5.47,801,5810,21400,2.65,1.483,6.412,36.1,3710,.417,33.8,22.77,14.97,34800,66.4,3.3,6.2,.927,200.5,9.58,142,131,1.037,4.87,94,836
"Nichoria",83100,95800,4.75,1026,12210,16500,2.39,1.41,5.754,32.8,4530,.4,32.4,38.97,23.39,58200,69.3,3.17,8.9,1.012,305.7,11.92,321,85,.831,4.18,133,837
"Nichoria",69000,101600,4.71,889,2980,19600,2.55,1.189,5.059,29.87,4260,.336,25.1,35.61,19.63,44000,56.8,2.72,12.7,.826,268.4,9.28,328,170,.684,2.65,119,838
"Nichoria",70800,92500,4.82,847,2940,19000,2.65,1.228,5.164,29.95,4210,.384,27.2,37.84,20.72,46800,61.2,2.88,15.9,.89,276.7,10.11,350,155,.826,3.36,134,839
"Nichoria",82800,49600,4.79,661,4720,26200,2.44,1.268,5.441,33.09,4620,.396,28.9,31.14,22.74,50100,67.2,2.91,14.7,1.002,309.9,11.56,333,164,.754,3.39,116,840
"Nichoria",80600,82700,4.28,1155,11130,9800,2.69,1.365,5.622,33.02,4690,.404,26.9,39.29,22.03,52200,63.4,3.17,12.3,.942,294.4,10.96,352,88,.835,3.23,112,841
"Nichoria",75700,63300,4.61,930,3910,23500,2.48,1.18,5.226,30.38,4500,.402,29.6,32.55,20.34,49300,65,2.92,10.5,.975,246.3,11.08,257,160,.79,3.6,98,842
"Nichoria",69800,11800,8.27,732,3570,14000,1.96,2.465,9.772,46.77,4440,.586,52.9,32.72,17.07,47500,84.1,4.19,3.6,1.091,222.7,11.61,190,82,1.666,5.22,114,843
"Nichoria",65000,13200,9.4,793,3230,15800,1.81,2.719,11.402,51.42,4090,.558,60.1,40.91,15.65,38600,95.2,4.65,3.8,1.072,202.4,11.06,193,87,1.766,4.41,125,844
"Nichoria",62700,3000,5.36,494,5310,6800,1.82,1.534,6.447,35.49,4190,.397,34.5,21.42,11.74,38600,66,2.87,2.4,.965,246.7,10.27,158,60,.93,4.94,105,845
"Nichoria",64100,44000,8.8,779,5550,15200,2.59,2.389,9.698,49.25,4610,.578,51.9,24.05,16.22,41200,84.8,4.38,1.2,1.086,243.1,11.25,176,38,1.757,5.19,81,846
"Nichoria",70100,13200,6.73,658,4800,19300,1.94,1.603,7.083,37.37,4250,.443,38.2,27.05,15.81,42600,78.9,3.44,5,1.116,252.8,11.43,158,93,1.101,4.78,108,847
"Nichoria",80900,38700,5.72,374,4860,13400,2.84,1.551,6.715,37.85,5030,.44,36,25.61,18.02,54700,78,3.22,1.9,1.165,329.4,12.51,222,69,.98,5.11,122,848
"Nichoria",67400,7000,19.72,785,3350,11100,1.98,4.895,19.045,82.3,4260,1.055,90.3,32.37,15.14,42700,91,8.69,3.6,1.093,206.5,11.24,285,82,3.832,4.18,152,849
"Nichoria",85900,7900,3.8,65,5200,13400,2.41,.81,4.441,34.72,5720,.409,26.4,11.8,15.52,22500,70.6,2.59,3.2,1.257,372.2,11.49,127,75,.649,6.38,89,850
"Nichoria",79200,7500,5.5,683,3280,14600,2,1.552,6.823,38.1,4880,.464,34.2,31.61,16.73,50100,83.1,3.17,2.8,1.14,254.2,12.38,188,74,1.12,4.78,126,851
"Nichoria",67800,4800,13.34,1107,3580,18500,2,4.459,18.183,71.4,3980,.721,90.7,53.32,15.57,39800,130.3,6.4,5.6,1.016,210.8,11.01,245,126,2.693,4.61,173,852
"Nichoria",70000,2600,9.45,825,3750,20400,2.09,2.507,10.943,50.05,4440,.608,54.7,41,17.78,51900,92.4,4.6,6.2,1.056,213.6,12.25,186,130,1.807,4.72,127,853
"Nichoria",94400,78400,5.19,1042,2050,18000,2.42,1.365,5.956,38.82,5240,.44,31.5,30.55,26.36,67200,75.5,3.05,4.4,1.038,288.7,13.4,266,94,.987,4,100,854
